GEOID,HISP,male,female,VAP,HVAP,NH_WHITEPOP,NH_BLACKPOP,NH_AMINPOP,NH_ASIANPOP,NH_HAWAIIANPOP,NH_OTHERPOP,NH_WVAP,NH_BVAP,NH_AMINVAP,NH_ASIANVAP,NH_HAWAIIANVAP,NH_OTHERVAP,TOTPOP
481130002022002,2,20.0,18.0,32.0,1.0,35.0,0.0,0.0,0.0,0.0,1.0,30.0,0.0,0.0,0.0,0.0,1.0,38
481130002022004,3,22.0,23.0,35.0,2.0,42.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,45
481130002022005,8,25.0,23.0,37.0,7.0,38.0,0.0,0.0,1.0,0.0,1.0,29.0,0.0,0.0,1.0,0.0,0.0,48
481130002022006,6,21.0,21.0,35.0,4.0,35.0,0.0,0.0,0.0,0.0,1.0,30.0,0.0,0.0,0.0,0.0,1.0,42
481130002022007,8,17.0,17.0,30.0,6.0,25.0,1.0,0.0,0.0,0.0,0.0,23.0,1.0,0.0,0.0,0.0,0.0,34
481130002022009,1,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
481130002022010,10,18.0,16.0,31.0,7.0,22.0,0.0,0.0,1.0,0.0,1.0,22.0,0.0,0.0,1.0,0.0,1.0,34
481130002022011,1,19.0,17.0,31.0,1.0,32.0,3.0,0.0,0.0,0.0,0.0,27.0,3.0,0.0,0.0,0.0,0.0,36
481130002022012,3,13.0,24.0,32.0,1.0,33.0,1.0,0.0,0.0,0.0,0.0,30.0,1.0,0.0,0.0,0.0,0.0,37
481130002022013,2,21.0,21.0,31.0,0.0,38.0,2.0,0.0,0.0,0.0,0.0,29.0,2.0,0.0,0.0,0.0,0.0,42
481130002022014,0,15.0,19.0,26.0,0.0,32.0,0.0,0.0,1.0,0.0,1.0,24.0,0.0,0.0,1.0,0.0,1.0,34
481130002022020,5,13.0,13.0,23.0,4.0,21.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,26
481130002022021,1,13.0,14.0,20.0,1.0,24.0,0.0,1.0,1.0,0.0,0.0,17.0,0.0,1.0,1.0,0.0,0.0,27
481130002022023,1,10.0,23.0,26.0,1.0,27.0,0.0,0.0,5.0,0.0,0.0,23.0,0.0,0.0,2.0,0.0,0.0,33
481130002022026,2,17.0,15.0,29.0,2.0,30.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,32
481130002022027,5,24.0,22.0,38.0,5.0,41.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,46
481130002022028,1,11.0,7.0,15.0,1.0,16.0,1.0,0.0,0.0,0.0,0.0,13.0,1.0,0.0,0.0,0.0,0.0,18
481130002022029,0,5.0,9.0,13.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,14
481130002022030,1,10.0,13.0,18.0,1.0,18.0,0.0,0.0,2.0,0.0,2.0,15.0,0.0,0.0,2.0,0.0,0.0,23
481130002022031,2,21.0,25.0,37.0,2.0,43.0,0.0,0.0,1.0,0.0,0.0,34.0,0.0,0.0,1.0,0.0,0.0,46
481130002022032,1,24.0,29.0,40.0,1.0,48.0,0.0,1.0,3.0,0.0,0.0,36.0,0.0,1.0,2.0,0.0,0.0,53
481130002022033,0,4.0,11.0,12.0,0.0,14.0,0.0,1.0,0.0,0.0,0.0,11.0,0.0,1.0,0.0,0.0,0.0,15
481130002022034,3,7.0,5.0,11.0,2.0,8.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,1.0,12
481130002022035,2,23.0,21.0,35.0,2.0,42.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,44
481130002022036,1,13.0,16.0,23.0,1.0,26.0,0.0,1.0,1.0,0.0,0.0,20.0,0.0,1.0,1.0,0.0,0.0,29
481130002022037,6,21.0,24.0,38.0,3.0,37.0,0.0,0.0,1.0,0.0,1.0,34.0,0.0,0.0,1.0,0.0,0.0,45
481130002022038,0,23.0,25.0,42.0,0.0,47.0,1.0,0.0,0.0,0.0,0.0,41.0,1.0,0.0,0.0,0.0,0.0,48
481130002022039,0,15.0,16.0,29.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,31
481130002022040,0,5.0,5.0,8.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,10
481130002022041,0,8.0,12.0,20.0,0.0,19.0,0.0,0.0,1.0,0.0,0.0,19.0,0.0,0.0,1.0,0.0,0.0,20
481130002022042,4,26.0,21.0,43.0,4.0,38.0,2.0,0.0,3.0,0.0,0.0,35.0,1.0,0.0,3.0,0.0,0.0,47
481130002023000,7,26.0,35.0,46.0,3.0,52.0,1.0,0.0,0.0,0.0,1.0,41.0,1.0,0.0,0.0,0.0,1.0,61
481130002023001,0,13.0,21.0,30.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,34
481130002023002,4,13.0,20.0,29.0,4.0,29.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,33
481130002023003,0,14.0,7.0,19.0,0.0,20.0,0.0,0.0,1.0,0.0,0.0,18.0,0.0,0.0,1.0,0.0,0.0,21
481130002023004,11,39.0,33.0,68.0,9.0,47.0,3.0,2.0,6.0,0.0,3.0,46.0,3.0,2.0,6.0,0.0,2.0,72
481130002023005,45,103.0,65.0,154.0,38.0,106.0,10.0,2.0,3.0,0.0,2.0,100.0,10.0,1.0,3.0,0.0,2.0,168
481130002023006,33,69.0,57.0,118.0,30.0,83.0,4.0,0.0,4.0,0.0,2.0,80.0,3.0,0.0,4.0,0.0,1.0,126
