ratio,var,type,eps
6.865841627392594,7376.561604779819,eq,2.0
5.156912383395815,5540.512576754194,eq,2.0
7.078286763495763,7604.8096068672185,eq,2.0
6.0270783095198395,6475.406346343197,eq,2.0
5.785318062542939,6215.662610295334,eq,2.0
7.270769795942571,7811.610611576371,eq,2.0
6.661881736185314,7157.430027903342,eq,2.0
6.296347295124527,6764.7050759621425,eq,2.0
7.6420884161687725,8210.550002513155,eq,2.0
7.2631913635543945,7803.468452695804,eq,2.0
4.4125668694166205,4740.7984503457465,eq,2.0
5.208397876732016,5595.827851116443,eq,2.0
6.022207940774905,6470.17369213491,eq,2.0
5.494974086984731,5903.721214249011,eq,2.0
5.911144945809622,6350.849205956238,eq,2.0
8.15067123981938,8756.964081571412,eq,2.0
6.124663979757621,6580.250988459723,eq,2.0
6.027418252100342,6475.771575767826,eq,2.0
4.2582542802362795,4575.007221497645,eq,2.0
4.599033503662245,4941.135523263514,eq,2.0
6.299009574933596,6767.565391140751,eq,2.0
4.253483404803589,4569.881461474641,eq,2.0
9.179482744072313,9862.304381083977,eq,2.0
5.883427340828041,6321.069809375365,eq,2.0
7.605247892837463,8170.969073523836,eq,2.0
8.622937812583963,9264.360502423486,eq,2.0
6.228924374202639,6692.266858370545,eq,2.0
6.408402745873794,6885.095842376783,eq,2.0
5.9501404695757225,6392.745436452387,eq,2.0
6.998091579388248,7518.649053204637,eq,2.0
6.25110597504979,6716.098451643661,eq,2.0
3.5104167371301744,3771.541309164283,eq,2.0
4.224969618370976,4539.246658981304,eq,2.0
5.1761961303788215,5561.230757468356,eq,2.0
6.597221167790999,7087.9596421813985,eq,2.0
6.983069783593709,7502.509851617064,eq,2.0
10.603640602063022,11392.399123218207,eq,2.0
5.669007945137029,6090.700691150441,eq,2.0
5.534054568813104,5945.708722466697,eq,2.0
5.523883038455876,5934.780576382517,eq,2.0
5.443285621943297,5848.1878700027,eq,2.0
9.680294770806402,10400.369627576065,eq,2.0
6.293836232652668,6762.007226518132,eq,2.0
5.559592921437712,5973.146761623966,eq,2.0
5.806300231788987,6238.205551488134,eq,2.0
7.762399035643611,8339.810003606772,eq,2.0
3.946348599668853,4239.900239360605,eq,2.0
8.503890763298706,9136.458062988184,eq,2.0
5.873500713273786,6310.404783344249,eq,2.0
6.469666579514109,6950.916825078999,eq,2.0
5.485784381907256,5893.84792713978,eq,2.0
5.541380777559347,5953.579895889999,eq,2.0
